city,city_ascii,lat,lng,admin_name,population,admin_name_english
Libiąż,Libiaz,"50,1","19,3167",Małopolskie,16385,Lesser Poland
Radzionków Nowy,Radzionkow Nowy,"50,3833","18,8833",Śląskie,16253,Silesia
Brzesko,Brzesko,"49,9667","20,6167",Małopolskie,16193,Lesser Poland
Kozienice,Kozienice,"51,5833","21,5667",Mazowieckie,16192,Mazovia
Ustroń,Ustron,"49,7194","18,8119",Śląskie,16118,Silesia
Gubin,Gubin,"51,95","14,7167",Lubuskie,16114,Lubusz
Nowogard,Nowogard,"53,6667","15,1167",Zachodniopomorskie,16102,West Pomerania
Olecko,Olecko,"54,0333","22,5",Warmińsko-Mazurskie,16076,Warmian-Masurian
Czernica,Czernica,"51,0464","17,2439",Dolnośląskie,16070,Lower Silesia
Sulechów,Sulechow,"52,0833","15,6167",Lubuskie,16063,Lubusz
Gryfice,Gryfice,"53,9147","15,1986",Zachodniopomorskie,15863,West Pomerania
Osowa,Osowa,"54,4272","18,4708",Pomorskie,15843,Pomerania
Rypin,Rypin,"53,0667","19,45",Kujawsko-Pomorskie,15832,Kuyavian-Pomeranian
Międzyrzec Podlaski,Miedzyrzec Podlaski,"51,9833","22,7833",Lubelskie,15830,Lublin Voivodeship
Ropczyce,Ropczyce,"50,0861","21,6333",Podkarpackie,15815,Subcarpathian
Krapkowice,Krapkowice,"50,4667","17,9667",Opolskie,15786,Opole Voivodeship
Niepołomice,Niepolomice,"50,0339","20,2172",Małopolskie,15697,Lesser Poland
Solec Kujawski,Solec Kujawski,"53,0833","18,2333",Kujawsko-Pomorskie,15458,Kuyavian-Pomeranian
Jelcz-Laskowice,Jelcz-Laskowice,"51,0333","17,3333",Dolnośląskie,15380,Lower Silesia
Strzegom,Strzegom,"50,9611","16,3444",Dolnośląskie,15371,Lower Silesia
Grodzisk Wielkopolski,Grodzisk Wielkopolski,"52,2333","16,3667",Wielkopolskie,15131,Greater Poland
Busko-Zdrój,Busko-Zdroj,"50,4667","20,7167",Świętokrzyskie,15014,Holy Cross
Świdwin,Swidwin,"53,7833","15,7667",Zachodniopomorskie,14937,West Pomerania
Przeworsk,Przeworsk,"50,0667","22,5",Podkarpackie,14881,Subcarpathian
Lidzbark Warmiński,Lidzbark Warminski,"54,1167","20,5833",Warmińsko-Mazurskie,14878,Warmian-Masurian
Nisko,Nisko,"50,52","22,1394",Podkarpackie,14874,Subcarpathian
Józefosław,Jozefoslaw,"52,1069","21,0392",Mazowieckie,14806,Mazovia
Radzyń Podlaski,Radzyn Podlaski,"51,7828","22,6242",Lubelskie,14806,Lublin Voivodeship
Dęblin,Deblin,"51,5667","21,8614",Lubelskie,14791,Lublin Voivodeship
Łapy,Lapy,"52,9833","22,8833",Podlaskie,14790,Podlaskie
Złotoryja,Zlotoryja,"51,1333","15,9167",Dolnośląskie,14656,Lower Silesia
Boguszów-Gorce,Boguszow-Gorce,"50,7667","16,2",Dolnośląskie,14648,Lower Silesia
Limanowa,Limanowa,"49,7006","20,4267",Małopolskie,14635,Lesser Poland
Jędrzejów,Jedrzejow,"50,6333","20,3",Świętokrzyskie,14592,Holy Cross
Ząbkowice Śląskie,Zabkowice Slaskie,"50,5833","16,8167",Dolnośląskie,14578,Lower Silesia
Mosina,Mosina,"52,2467","16,845",Wielkopolskie,14511,Greater Poland
Brwinów,Brwinow,"52,1417","20,7167",Mazowieckie,14448,Mazovia
Choszczno,Choszczno,"53,1667","15,4",Zachodniopomorskie,14399,West Pomerania
Ożarów Mazowiecki,Ozarow Mazowiecki,"52,2167","20,8",Mazowieckie,14375,Mazovia
Ustka,Ustka,"54,5833","16,85",Pomorskie,14321,Pomerania
Radzymin,Radzymin,"52,4167","21,1833",Mazowieckie,14314,Mazovia
Biały Kamień,Bialy Kamien,"50,7814","16,2539",Dolnośląskie,14278,Lower Silesia
Kartuzy,Kartuzy,"54,3333","18,2",Pomorskie,14204,Pomerania
Plewiska,Plewiska,"52,3664","16,8089",Wielkopolskie,14160,Greater Poland
Staszów,Staszow,"50,5633","21,1717",Świętokrzyskie,14158,Holy Cross
Nowy Tomyśl,Nowy Tomysl,"52,3167","16,1333",Wielkopolskie,14116,Greater Poland
Chełmża,Chelmza,"53,1847","18,6042",Kujawsko-Pomorskie,14045,Kuyavian-Pomeranian
Ostrzeszów,Ostrzeszow,"51,4167","17,9333",Wielkopolskie,14036,Greater Poland
Kępno,Kepno,"51,2833","17,9833",Wielkopolskie,13951,Greater Poland
Skoczów,Skoczow,"49,8006","18,7883",Śląskie,13814,Silesia
Siemiatycze,Siemiatycze,"52,4272","22,8625",Podlaskie,13782,Podlaskie
Lipno,Lipno,"52,85","19,1667",Kujawsko-Pomorskie,13752,Kuyavian-Pomeranian
Trzebnica,Trzebnica,"51,305","17,0614",Dolnośląskie,13631,Lower Silesia
Łęczyca,Leczyca,"52,05","19,2",Łódzkie,13587,Łódź Voivodeship
Wschowa,Wschowa,"51,8","16,3",Lubuskie,13533,Lubusz
Głowno,Glowno,"51,9642","19,7117",Łódzkie,13506,Łódź Voivodeship
